surname,forename,date_of_birth,notes
"EVANS","CLIVE","01-May-57",""
"EVANS","DENNIS","23-Jul-35",""
"EVANS","HERBIE","30-Aug-94",""
"EVANS","JABEZ","29-Apr-95",""
"FAGAN","KIT","05-Jun-50",""
"FAIRCLOUGH","DAVID","05-Jan-57",""
"FAIRCLOUGH","PETER","",""
"FAIRHURST","DICK","05-Sep-11",""
"FARNWORTH","SIMON","28-Oct-63",""
"FARRELL","PETER","16-Aug-22",""
"FARRIMOND","SYD","17-Jul-40",""
"FERGUSON","MARK","06-Nov-60",""
"FINLAY","PAT","18-Mar-38",""
"FINNEY","KEN","10-Mar-29",""
"FISHWICK","BERT","","Q1 1899"
"FLANAGAN","JACK","","Q1 1902"
"FLEMING","MIKE","23-Feb-28",""
"FLOOD","EDDIE","19-Nov-52",""
"FLOWERS","GEORGE","07-May-07",""
"FOGG","BILLY","09-Mar-03",""
"FORD","JOHN","",""
"FORSHAW","ALLEN","",""
"FORSHAW","ARTHUR","","Q3 1913"
"FOSTER","WILLIAM","",""
"FRASER","NATHAN","16-Apr-13",""
"FRITH","DAVID","17-Mar-29",""
"FROST","WINSTON","","Q2 1911"
"FRYE","JOHN","27-Jul-33",""
"FULTON","DAVID","16-Oct-95",""
"GARNETT","SHAUN","22-Nov-69",""
"GASKELL","ALEC","30-Jul-32",""
"GIBSON","WILLIAM","17-Sep-26",""
"GILL","FRANCIS","","Q1 1897"
"GILL","FRANK","05-Dec-48",""
"GLASPER","WILLIAM","","Q4 1910"
"GLENNON","CHRIS","29-Oct-49",""
"GODWIN","VERDI","11-Feb-26",""
"GOOD","JOHN","29-Jan-33",""
"GOODLASS","RONNIE","06-Sep-53",""
"GORTON","ANDY","23-Sep-66",""
"GOULD","HARRY","05-Jan-25",""
"GRAHAM","BOBBY","22-Nov-44",""
"GRAINGER","JOHN","","C 1896"
"GRAY","ALBERT","23-Sep-00",""
"GRAY","ROBERT","07-Oct-03",""
"GREEN","JOHNNY","22-May-39",""
"GREENWOOD","ROY","26-Sep-52",""
"GRIERSON","DARRELL","30-Oct-68",""
"GRIFFITHS","CLIVE","22-Jan-55",""
"GRIFFITHS","DAVID","25-May-51",""
"GRIFFITHS","IAN","17-Apr-60",""
"GRIFFITHS","JOE","","C 1892"
"GRIFFITHS","JOHN","","1916-06-30"
"GROVES","FRED","06-May-92",""
"GUBBINS","RALPH","31-Jan-32",""
"GWATKIN","PHIL","05-Aug-29",""
"HAGAN","ALF","11-Nov-93",""
"HALL","TONY","17-Jan-69",""
"HALSTEAD","FRED","","Q4 1896"
"HAMILTON","BRYAN","21-Dec-46",""
"HAMILTON","DUKE","27-Mar-06",""
"HARLOCK","DES","20-Dec-22",""
"HARRIS","ALBERT","21-Nov-31",""
"HARRIS","JIMMY","18-Aug-33",""
"HARROP","BOBBY","25-Aug-36",""
"HARVEY","JIMMY","02-May-58",""
"HAWARDEN","ANDREW","30-Jun-95",""
"HAY","ALAN","28-Nov-58",""
"HAYES","CHARLIE","07-Dec-93",""
"HAYES","FRED","",""
"HAYES","JOHN","",""
"HEAP","STUART","07-Feb-65",""
"HEATH","JOHN","05-Jun-36",""
"HEATH","SEAMUS","06-Dec-61",""
"HENSHAW","ERNIE","28-Nov-10",""
"HESLOP","TOM","",""
"HEYDON","JACKIE","19-Oct-28",""
"HEYWOOD","BERT","","Q3 1913"
"HICKSON","DAVE","30-Oct-29",""
"HIGGINS","1 DAVE","19-Aug-61",""
"HIGGINS","2 DAVE","19-Aug-61",""
"HILDITCH","MARK","20-Aug-60",""
"HILL","ALAN","01-Jul-33",""
"HILL","MANDY","15-Feb-40",""
"HILL","REGINALD","","C 1907"
"HILTON","HAROLD","13-Nov-89",""
"HINCH","JIMMY","08-Nov-47",""
